SMILES,index,xyz,InChI,Exp.,DFT,SchNet
C1CCCCCCC1,gdb_17972,17972.xyz,InChI=1S/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2,-29.84145953,-31.86991112,-32.07958603
Fc1cccc(F)c1,gdb_23667,23667.xyz,InChI=1S/C6H4F2/c7-5-2-1-3-6(8)4-5/h1-4H,-73.9,-86.1425641,-86.34536743
Cc1ccc(F)cc1,gdb_23701,23701.xyz,"InChI=1S/C7H7F/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",-35.28760357,-43.26649318,-43.40859604
Fc1ccc(F)cc1,gdb_23715,23715.xyz,InChI=1S/C6H4F2/c7-5-1-2-6(8)4-3-5/h1-4H,-73.3,-85.39939056,-85.43515015
Fc1ccccc1F,gdb_23752,23752.xyz,InChI=1S/C6H4F2/c7-5-3-1-2-4-6(5)8/h1-4H,-70.27644997,-82.40417601,-82.50520325
FC(F)(F)C(F)(F)F,gdb_23866,23866.xyz,"InChI=1S/C2F6/c3-1(4,5)2(6,7)8",-321.3,-347.8657249,-348.3620911
C1C=Cc2ccccc12,gdb_24484,24484.xyz,"InChI=1S/C9H8/c1-2-5-9-7-3-6-8(9)4-1/h1-6H,7H2",39.04397706,36.94340337,37.39860535
C1Cc2ccccc2C1,gdb_24683,24683.xyz,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",14.47578075,12.02967111,12.29315662
CC(=O)c1ccccc1,gdb_25831,25831.xyz,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",-20.7,-24.87997286,-25.10300255
CC(C)c1ccccc1,gdb_26264,26264.xyz,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",0.95124283,-2.412070419,-2.029825926
Cc1cc(O)cc(C)c1,gdb_27882,27882.xyz,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",-38.67431485,-41.91156156,-42.37327194
Cc1ccc(C)c(C)c1,gdb_28423,28423.xyz,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",-3.308636074,-8.31241788,-8.164765358
Cc1ccc(C)c(O)c1,gdb_28426,28426.xyz,"InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3",-38.62571702,-41.68635745,-42.10834122
Cc1ccc(O)c(C)c1,gdb_28437,28437.xyz,"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",-39.00414277,-41.23594925,-41.63317108
Cc1ccc(O)cc1C,gdb_28442,28442.xyz,"InChI=1S/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3",-37.4,-41.10082679,-41.14554596
Cc1c(C)c(O)ccc1,gdb_28868,28868.xyz,"InChI=1S/C8H10O/c1-6-4-3-5-8(9)7(6)2/h3-5,9H,1-2H3",-37.57090504,-40.04236751,-40.39438248
Cc1cccc(C)c1C,gdb_28899,28899.xyz,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",-2.3,-6.443223837,-6.351569176
Cc1cccc(C)c1O,gdb_28901,28901.xyz,"InChI=1S/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3",-38.69104525,-41.86652074,-41.72542953
CCc1ccc(C)cc1,gdb_31801,31801.xyz,"InChI=1S/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3",-0.76959847,-5.4748462,-5.388361454
CCc1ccc(O)cc1,gdb_31803,31803.xyz,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",-34.43674315,-38.17317347,-38.39761353
CCc1cccc(C)c1,gdb_32081,32081.xyz,"InChI=1S/C9H12/c1-3-9-6-4-5-8(2)7-9/h4-7H,3H2,1-2H3",-0.5,-5.49736661,-5.559071064
CCc1ccccc1C,gdb_32202,32202.xyz,"InChI=1S/C9H12/c1-3-9-7-5-4-6-8(9)2/h4-7H,3H2,1-2H3",0.303537285,-4.123621591,-4.082208157
CCCc1ccccc1,gdb_32983,32983.xyz,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",1.881771829,-2.682315341,-2.705333948
CCOc1ccccc1,gdb_33002,33002.xyz,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",-24.29094965,-32.0251015,-31.77966309
CC(C)(C)CC(C)(C)C,gdb_57518,57518.xyz,"InChI=1S/C9H20/c1-8(2,3)7-9(4,5)6/h7H2,1-6H3",-57.77246654,-57.74683225,-57.95227814
CC(C)(C)OC(C)(C)C,gdb_57520,57520.xyz,"InChI=1S/C8H18O/c1-7(2,3)9-8(4,5)6/h1-6H3",-86.74633525,-90.08483296,-89.79048157
CC(C)C(C)(C)C(C)C,gdb_58099,58099.xyz,"InChI=1S/C9H20/c1-7(2)9(5,6)8(3)4/h7-8H,1-6H3",-56.50334608,-55.60739328,-56.09215164
CCC(C)(C)C(C)(C)C,gdb_99964,99964.xyz,"InChI=1S/C9H20/c1-7-9(5,6)8(2,3)4/h7H2,1-6H3",-56.67861695,-55.13446467,-55.24459457
CCC(CC)(CC)CC,gdb_102405,102405.xyz,"InChI=1S/C9H20/c1-5-9(6-2,7-3)8-4/h5-8H2,1-4H3",-55.4,-56.71089338,-56.80498505
OCC(CO)(CO)CO,gdb_102413,102413.xyz,"InChI=1S/C5H12O4/c6-1-5(2-7,3-8)4-9/h6-9H,1-4H2",-185.6,-173.9919564,-173.7221985
CCCC1CCCCC1,gdb_121391,121391.xyz,"InChI=1S/C9H18/c1-2-6-9-7-4-3-5-8-9/h9H,2-8H2,1H3",-46.05640535,-48.86763203,-49.13127518
CCCC[C@@H](CC)C=O,gdb_122111,122111.xyz,"InChI=1S/C8H16O/c1-3-5-6-8(4-2)7-9/h7-8H,3-6H2,1-2H3/t8-/m1/s1",-71.60611855,-76.22862209,-76.65235901
CCCC[C@@H](CC)CO,gdb_122136,122136.xyz,"InChI=1S/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3/t8-/m1/s1",-87.3,-88.68856753,-88.99021912
CCCCCCCCC,gdb_123246,123246.xyz,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",-54.60723391,-63.46701643,-63.82114029
CCCCCCCCO,gdb_123247,123247.xyz,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",-85.09878904,-90.44515952,-90.82736206
CCCCOCCCC,gdb_123252,123252.xyz,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",-79.6749522,-89.13897573,-89.36885834
